pid,side,MLE,MdLE,SDLE,MaxLE,MinLE,P90,P95,P99,RMSE,NME,SR@2mm,SR@3mm,SR@5mm,SR@10mm,MAE_x,MAE_y,MAE_z,Bias_x,Bias_y,Bias_z,Procrustes_RMSE,Procrustes_Mean,Procrustes_Median,Alignment_Gain,Centroid_Error,Scale_Ratio,Scale_Error_Pct,HRTF_Weighted_MLE,HRTF_Critical_MLE,HRTF_Critical_Max,Concha_MLE,Canal_Axis_MLE,HRTF_SR@2mm,HRTF_SR@3mm
P0075,left,4.802501967126643,4.67841293342337,1.2774916760971762,7.765579425274268,1.6000860558626389,6.528004946143153,7.008088387078339,7.725239383847463,4.96950803669265,0.06008745090764244,0.023529411764705882,0.08235294117647059,0.6235294117647059,1.0,1.6232560599122017,3.668447246394209,1.8317557775269362,-1.2391823029246511,-2.3824499563506163,1.2175298581441985,2.309938771130161,2.0543850975348916,1.8700158265826403,0.5351775761246159,2.9485622818365638,0.905102931803931,9.489706819606901,4.680197039220073,4.559106322443013,6.767665392077662,4.670336292300287,3.546524862053688,0.0,0.0967741935483871
P0075,right,7.612590066655473,8.266109517081544,2.436783228934395,11.097696390976331,1.4972642324911916,10.1592156728738,10.505052496486343,11.055853893400148,7.993087014899656,0.09703637554070685,0.011764705882352941,0.047058823529411764,0.2,0.8705882352941177,2.0682051996863224,6.707130396726072,2.3378874574598196,-1.095795463084516,6.707130396726072,-1.9536039758166444,2.00828319971358,1.713947463074861,1.53102618286044,0.7487474869290327,7.07127529869473,0.918895814956193,8.1104185043807,6.931874530917547,6.227270604904638,10.175420531256533,7.988016779522204,3.9243091855722922,0.03225806451612903,0.0967741935483871
P0080,left,3.0827218533611487,3.2077076471196286,0.7635362430976691,5.027428247861469,1.4720390202506324,3.9470292115551233,4.0465505713870185,4.530160595453766,3.1758717889288444,0.04010441079502577,0.10588235294117647,0.38823529411764707,0.9882352941176471,1.0,1.147526106251698,2.4366496305949767,0.9989334781859932,0.6878721935360707,2.4366496305949767,-0.24286427975731237,1.5192777210764676,1.321885710618957,1.1192605552537185,0.5216186855134192,2.543504007329424,0.9453573804191249,5.464261958087513,3.157940231690578,3.256765645335599,4.030218737810372,3.072308386328747,3.661929553163831,0.0,0.22580645161290322
P0080,right,3.191582227191488,2.849633794394179,1.3186060590720128,5.841572929472228,0.37952638669069805,5.3810347112204795,5.726369756433558,5.80529180651952,3.4532476094172577,0.04233710694912942,0.2,0.5176470588235295,0.8588235294117647,1.0,2.0134719078744308,0.9592317159188917,1.6586680293405278,1.3919328597126321,-0.11558580686677912,1.4975886769393112,1.7206722002097625,1.562349724279205,1.3924976416827113,0.5017234803934891,2.0478303176761674,0.9592072005598073,4.079279944019265,2.8948257242653734,2.572440874570315,5.841572929472228,2.1499954821673737,2.14607694856893,0.41935483870967744,0.8064516129032258
P0092,left,4.171062101655167,3.899576769982536,1.9716049592533076,8.421853085496316,0.99189029772044,7.220154057697546,7.757680683870787,8.340958103807049,4.613565342684144,0.05521544600104793,0.15294117647058825,0.3058823529411765,0.6823529411764706,1.0,1.1348454471597822,3.3948692463896344,1.4420556047016109,-0.7302875944613144,-3.0879059802275814,0.5189170610960815,2.117720618850761,1.932611740979325,1.9704847569863324,0.5409795978801977,3.2152384405586605,0.9482933102162089,5.170668978379112,3.7524534402585874,3.374169342148818,8.421853085496316,2.99063565411309,2.729575981054867,0.3225806451612903,0.5483870967741935
P0092,right,3.3390299419771883,3.556222323766552,1.4036306280009307,5.678112742968633,0.6614134664130439,5.10554078710717,5.564427102702933,5.650935201732881,3.622057411649141,0.04356793634761727,0.24705882352941178,0.3411764705882353,0.8705882352941177,1.0,1.0627892655742823,2.7058803241375955,1.1015972227020403,-0.5557459708136785,2.3141027998979413,-0.7141807640853195,1.6454021656482425,1.4800401592906367,1.3804978733834832,0.5457271990468933,2.484749387032906,0.9428399458031023,5.716005419689774,2.97408508994457,2.585824794251737,5.637033906644119,2.70812716431996,1.515006042757991,0.5161290322580645,0.6451612903225806
P0097,left,2.7802014496032244,2.5882895823341805,1.1403545595861058,5.773882502320627,0.42283949309172836,4.517388814002823,4.798140665045952,5.27580133070991,3.00498396367513,0.03886605259417418,0.2823529411764706,0.5882352941176471,0.9764705882352941,1.0,1.2306905743703003,1.8711007133518305,1.1546942460537868,0.9117750787002864,-1.49658624020168,-0.08021596002313133,2.2858263020159737,1.8933518367814937,1.5438315188322582,0.2393216304740895,1.7542915290060042,0.9826464485489962,1.7353551451003812,2.6508082138679483,2.43857379101747,3.938760572431012,2.0690850393784053,2.7010852943004187,0.25806451612903225,0.7419354838709677
P0097,right,4.329435142252693,3.9101205643373462,1.4715052362178263,8.385289852814958,1.870783061501677,6.657490480766,6.99951674594958,7.987727822766646,4.572672775433321,0.06076006003067369,0.011764705882352941,0.15294117647058825,0.7294117647058823,1.0,2.829960673960625,1.6716698555125302,1.8288102208178778,-1.8219997381989426,1.5758905321364964,-1.5170301708263185,1.9942688974767246,1.7254618101394215,1.4933185595074303,0.5638723793779168,2.8468393973794393,1.0018910196696587,0.18910196696586556,4.054443777077284,3.614465390536903,5.878415658308155,2.810137790204132,4.085449738970308,0.03225806451612903,0.3225806451612903
P0113,left,5.2443443074274185,4.905796735662968,2.027385802413703,9.28849499301934,1.8665619075566824,8.192192295592681,8.52642772802855,9.008763684678579,5.622583072456557,0.06749653339928628,0.03529411764705882,0.1411764705882353,0.5176470588235295,1.0,3.1905609664500316,2.508492448333589,2.3870077201328894,2.9853719164874706,-2.1690150031444966,1.0771952635928836,2.702909548132582,2.5395560352421795,2.5394524697491208,0.5192761915203532,3.844141152393454,0.9286758938149523,7.132410618504769,4.648683837051131,4.116200964154767,9.28849499301934,3.2528820499523907,2.746176215694215,0.0967741935483871,0.3870967741935484
P0113,right,6.034029706052142,5.7916339057461075,2.069007102868202,9.355782990226752,2.2138433604481245,8.691495468567,8.908473215517686,9.348110883461867,6.37889527153713,0.08012119893594183,0.0,0.07058823529411765,0.4,1.0,1.4694050570859363,5.203151864357319,2.2333411541523396,0.3459856157053121,5.203151864357319,1.7563051337158584,2.2856540749284093,2.0684142010664615,1.9303670149859893,0.6416849661897959,5.50246336585322,0.9698935888758652,3.0106411124134813,5.366430543848768,4.65002677342485,8.919321320243187,4.231802568128489,2.9587991045979103,0.0,0.1935483870967742
